ts	phase	decision	why	evidence	result
2026-09-13T07:10:48Z	frame	Bounded the milestone to Mission Control and defined qualification as a disposable three-WorkOrder run	The user prohibited Relay changes and required a falsifiable final verdict	docs/plans/mission-control-post-relay-hardening-qualification.md	definition recorded
2026-09-13T07:10:48Z	baseline	Created codex/post-relay-hardening at the exact detached HEAD	Commits need an isolated named branch and existing staged and unstaged work must remain intact	git branch codex/post-relay-hardening at 1b5884b	branch created
2026-09-13T07:10:48Z	workflow	Sequenced data foundations before read model UI and synthetic qualification	Every later phase depends on canonical membership dependency and terminal data shapes	docs/plans/mission-control-post-relay-hardening-qualification.md	workflow designed
2026-09-13T07:18:00Z	baseline	Committed the reviewed post-Relay hardening tree as one cohesive unit	The verification vocabulary retry lineage worker controls and UI truth share one invariant boundary	492c10f	baseline committed
2026-09-13T07:29:00Z	domain	Centralized membership dependencies outcomes reconciliation progress and history in one pure lifecycle module	Database UI and qualification paths must consume identical rules	convex/lib/factoryLifecycle.ts	13 focused domain and reconciliation checks passed
2026-09-13T07:36:00Z	qualification	Used a disposable three-WorkOrder Git repository rather than Relay	The user prohibited Relay reuse and required bounded injected scenarios	.audit/post-relay-hardening/synthetic-qualification.json	Factory Run reached ACCEPTED with exactly three members
2026-09-13T07:37:00Z	containment	Ran unchanged Fab containment outside the nested Codex sandbox	The host supported safe unsandboxed macOS qualification	.audit/post-relay-hardening/fab-containment.md	39 passed 0 failed 0 skipped
2026-09-13T07:52:00Z	browser	Projected the passing synthetic packet into an idempotent local Research Lab fixture	Browser proof required durable backend records without dispatching a product workload	.audit/post-relay-hardening/browser-qualification.md	exactly 3 members and all truthful states rendered with zero page errors
2026-09-13T07:56:00Z	regression	Restricted host-only skill materialization to persistent workers	Remote sandbox result materialization must begin from a clean host worktree	apps/orchestration-server/src/factoryAttemptWorker.ts	remote worker regression and neighboring tests passed
2026-09-13T07:56:00Z	regression	Made verifier authority a causal prerequisite for candidate-controlled commands	A rewritten verification surface must block execution rather than run an untrusted command	apps/orchestration-server/src/__tests__/factoryVerificationAuthority.test.ts	full orchestration package passed
2026-09-13T07:58:00Z	qualification	Accepted explicit environment-gated full-package skips while requiring every changed path to pass	Docker and governed-context prerequisites are separate from native Fab and changed lifecycle coverage	.audit/post-relay-hardening/regression-results.md	770 full-package tests passed 11 explicit skips 0 failures
