ts	phase	decision	why	evidence	result
2026-09-13T00:00:00Z	pickup	Resumed at the revised WO-001 verification retry	The handoff says implementation belongs to the factory and identifies WO-001 as the dependency gate	/Users/jaywest/.codex/attachments/112c2cc6-fbfd-4053-8a4d-43b3c9aefe6f/pasted-text.txt	live state not yet confirmed
2026-09-13T00:00:01Z	frame	Defined completion across work orders, evidence, approvals, browser behavior, and service health	A status label alone does not prove the first major factory project shipped	.audit/relay-first-factory-run/todo.md	predicate open
2026-09-13T01:17:13Z	learning-register	Created a living, evidence-backed factory pilot findings register	The operator requested one durable list spanning Relay UI, UX, backend, and factory improvements	.audit/relay-first-factory-run/lessons-and-improvements.md	Eight factory findings captured; Relay product review queue defined
2026-09-13T01:28:21Z	task-approval	Applied the operator approval to exactly 20 stale Needs Approval task cards through audited transitions to Ready	No legacy or WorkOrder approval records were pending; the task lane was a separate persisted status and the user explicitly approved all 20	Convex task counts changed from 27 INBOX / 23 READY / 20 NEEDS_APPROVAL to 27 INBOX / 43 READY / 0 NEEDS_APPROVAL; browser confirmed	Approval lane cleared; no work was dispatched or dependency policy bypassed
2026-09-13T01:34:44Z	verification-recovery	Requested WO-001 revision 3 with a pinned pnpm toolchain and distinct typecheck, build, health, and dependency checks	Revision 2 deterministically dirtied the verifier because implementation and proof used different package managers; the frozen checks also overstated their coverage	Revision y97fc136rggm8rr77dmb3kvadh8ear9x is PENDING_APPROVAL; approval mutation was denied pending explicit authorization for this exact critical governance change	Factory is safely stopped at a real human approval boundary
2026-09-13T01:43:41Z	dispatch	Dispatched approved WO-001 revision 3 through governed taskless recovery	The prior recoverable attempt predates canonical Task linkage; the public dispatch API rejects binding that historical lineage to a new child Task.	workOrder=yh7e14257qs9wnyk5061aeha4n8e9x37 revision=3 attempt=ys7erpf1tjte6nchak3tjcc75h8eb620 run=ev05wlrg branch=mc/aeha4n8e9x37-ev05wlrg	Factory worker claimed the attempt and status advanced to RUNNING.
2026-09-13T01:48:35Z	audit	Audited all 14 Relay Mission WorkOrders and their dependency graph	Mutating WorkOrders share one broad Relay code scope, so correctness requires serial mutation; five missing predecessor edges must be revised before affected WorkOrders run.	lessons-and-improvements.md Relay WorkOrder audit; live workOrders:list snapshot	Run WO-001 first, then request governed dependency revisions for WO-004, WO-009, WO-010, and WO-013 before dispatch.
2026-09-13T01:49:45Z	governance	Filed four dependency-only Relay WorkOrder revisions	The approved Mission graph omitted prerequisites needed for account ownership, shell integration, connector credentials, and security subject completeness.	WO-004 r2 y970enjtk19fq961qrhhg761bs8ebap6; WO-009 r2 y978kw3k4fgdd3bx978sbfppf18ebzzm; WO-010 r2 y978dqwvycqdcvcq55f1z5bbhs8eb95q; WO-013 r2 y97187te1mqxrp7xkfvjyrbrtn8ebmn9	All four revisions are PENDING_APPROVAL and remain unapplied.
2026-09-13T01:56:43Z	recovery	Reconciled Relay repository scope and retried WO-001 revision 3	Attempt ev05wlrg was rejected before candidate creation because pnpm-workspace.yaml was allowed by the WorkOrder but omitted by the shared code scope.	failed=ev05wlrg reason=Changed-files-outside-approved-scope scope=jx7k0a0yeb7m5x12vwbmmccc358e8fsg retry=ft8qxevw	Scope includes pnpm-workspace.yaml, excludes package-lock.json, revision-3 approval reissued from explicit authorization, retry RUNNING.
2026-09-13T01:56:43Z	ux-audit	Audited Relay WorkOrders for shippable browser UX coverage	Most UI-bearing acceptance contracts prove backend behavior or route presence, not operator flows, states, accessibility, or responsive behavior.	lessons-and-improvements.md Relay product review queue	Strengthen existing WorkOrders and add one bounded WO-015 for Browser/Computer observer and runtime presence.
2026-09-13T02:01:54Z	governance	Did not broadly expand the Relay repository scope	The audited future union includes infrastructure, migration, script, and test paths beyond the explicit WO-001 revision-3 authorization; those paths require exact WorkOrder revision review.	FAC-016 and contract audit	Kept the foundation-only safe scope; drafting narrow revision patches for Product Owner approval.
2026-09-13T02:06:04Z	recovery	Rejected verifier-only retry for candidate bd7c9aa and dispatched a replacement implementation	The committed pnpm lockfile omitted package snapshots; immutable exact-candidate verification cannot repair it.	source=ft8qxevw candidate=bd7c9aa verifier=25ru6eiu reproduced=@types/node-not-found replacement=6faosh0f	Canceled the bad candidate, reopened WO-001, reissued the unchanged revision-3 approval, and dispatched the replacement.
2026-09-13T02:19:32Z	factory-recovery	Canceled invalid WO-001 revision-3 attempts and submitted revision 4 for approval	The source candidate violated the exact pnpm@9.0.0 pin and prior lockfile candidates were structurally incomplete; redispatch under revision 3 would repeat an unenforced contract.	Source ys7ewbdt94h15crx6c19v4rnkx8ebd18 canceled; verifier ys7f93n6sqy4326nbrabhwar0d8eazk0 canceled; revision y973kbk2hjft8hmf82pe3tgakx8ebgp5 pending with digest sha256:5be4cd9eb19aee003d658e40bf3ed77056ca13e66ee1ee0da7ebaabb62ba1bf1.	No invalid candidate accepted; WO-001 is safely paused at Product Owner approval.
2026-09-13T02:20:55Z	ui-verification	Added pending-revision attention defect to MC-FIX-001	The WorkOrder detail exposes revision 4 approval, but the queue reports zero awaiting approval and points to stale evidence instead.	Live 5199 browser: WO-001 detail action required approve revision r4; Work Orders summary Awaiting approval 0; Tasks board 27 Inbox, 43 Ready, 0 Needs approval, 70 Total despite workOrder URL filter.	FAC-021 recorded and corrective WorkOrder acceptance expanded; Kanban left open for operator review.
2026-09-13T03:52:51Z	factory-dispatch	Applied and dispatched approved WO-001 revision 4 on a new current-revision Task	Existing canonical tasks remained bound to revision 1 and failed the scope guard; creating a successor Task preserved historical authority while satisfying current dispatch policy.	Revision y973kbk2hjft8hmf82pe3tgakx8ebgp5 applied; approval ks7faf40ja4k41x9zgf24ny0wx8ea2dw approved; Task R-016 wh70scsqyt5zvjwdvtecw0bvzd8ebwn8 Ready; source Attempt s18z7yrf candidate 3e3fcc4; verifier 0aignbdd running.	Current candidate uses pnpm@9.0.0 with complete lock sections; independent verification in progress; FAC-022 recorded.
2026-09-13T04:06:00Z	factory-reconciliation	Restarted the local orchestration worker and reconciled hung recovery Attempt 3nfhvjpf	The Attempt heartbeat was live but no owned Codex process existed and no candidate was captured; durable restart recovery was safer than mutating partial Relay files manually.	Attempt ys7b7mx8z81z8de1sbdncv3hrh8eaak6 became CANCELED with no candidate; partial worktree preserved; orchestration health returned activeRunIds=[].	No invalid work accepted; FAC-024 and FAC-025 recorded before another same-revision dispatch.
2026-09-13T04:24:00Z	executor-hardening	Implemented bounded owned-process exit finalization and a request-scoped compatible model catalog	The canceled run exposed two independent executor risks: descendants could retain stdio after the owned child exited, and the pinned harness could parse an incompatible shared desktop model cache.	apps/orchestration-server/src/codexExecutorAdapter.ts; focused lifecycle and no-credential-copy regressions in apps/orchestration-server/src/__tests__/codexExecutorAdapter.test.ts	Implementation and regression coverage are present; canonical factory qualification remains open.
